Textbox7,Textbox1,Textbox3,Textbox12,Textbox11,Textbox5,Textbox18,Textbox19,Textbox14,Textbox17,Textbox15,InventSiteId,CountedPd,CorrectPd,AccuracyPd,CountedMtd,CorrectMtd,AccuracyMtd,CountedYtd,CorrectYtd,AccuracyYtd,Textbox9,Textbox32,Textbox33,Textbox2,Textbox35,Textbox36,Textbox4,Textbox38,Textbox39,Textbox6
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,1101,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,1102,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,2101,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,3104,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,3151,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,3152,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,3153,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,4108,0,0,0,0,0,0,4,4,100,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,4109,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,4110,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
